zpid,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,homeImage
111373431,39,0,5,2,1,3,0,1,0,6011,2601,1,0,1,1,1.266666667,2.666666667,1063,14,3,4,2,111373431_ffce26843283d3365c11d81b8e6bdc6f-p_f.jpg
120900430,29,0,1,2,0,0,0,0,0,6185,1768,1,0,1,1,1.4,2.666666667,1063,14,2,4,1,120900430_8255c127be8dcf0a1a18b7563d987088-p_f.jpg
2084491383,2,0,4,1,0,1,0,0,0,7840,1478,0,2,1,1,1.2,3,1108,14,2,3,1,2084491383_a2ad649e1a7a098111dcea084a11c855-p_f.jpg
2080105342,2,0,3,1,2,2,0,0,0,5161,1446,1,0,1,1,1.066666667,4,1223,14,2,3,1,2080105342_553d16748c296fce71f33902edd98d2d-p_f.jpg
241932337,36,0,3,1,0,0,0,0,0,12196.8,2432,1,0,1,1,1.233333333,3.666666667,1051,12,3,4,2,241932337_78e2a51227f811bd3c65d6674e8a7939-p_f.jpg
60134833,16,0,2,1,1,1,0,0,0,3811,1870,1,0,1,1,1.166666667,4,1223,14,2,3,2,60134833_aa596c71096f40a535ce679c788cae36-p_f.jpg
241932327,32,0,3,2,0,3,0,0,0,5401,1580,1,0,1,1,1.2,3.666666667,1051,12,2,3,1,241932327_1443918e3814a6c2d9a24f178b2dbdcd-p_f.jpg
241930967,37,0,4,1,0,0,0,0,0,4965,2281,1,0,1,1,1.2,3,1615,14,3,3,2,241930967_25b11677848df21523b38fd1f11fda1e-p_f.jpg
69808966,28,0,4,2,1,0,0,0,0,6011,1762,1,0,1,1,0.633333333,3.333333333,1626,14,2,4,1,69808966_a9daf4cb574c0e4861c99c650cd29ded-p_f.jpg
83813460,54,0,2,2,1,1,0,0,0,10846,1655,1,0,1,1,1.233333333,3,1615,14,3,3,2,83813460_6249601da87b7e0a7b26b5cc13233401-p_f.jpg
29470450,25,0,4,2,3,1,0,1,0,6621,1228,1,0,1,1,1.466666667,3,1615,14,2,3,1,29470450_4497ba63bf89d78dbe05edca5b4df55c-p_f.jpg
70341946,26,0,3,2,0,0,0,0,0,10802,1752,1,0,1,1,0.566666667,3.333333333,1626,14,2,4,1,70341946_9cdad930beeb949715556433fac66f31-p_f.jpg
70344594,21,1,2,2,1,0,0,0,0,7448,1511,1,0,1,1,2.433333333,2.666666667,1478,13,2,3,1,70344594_3e29ab1c54a4a8ca80360911b9ac7434-p_f.jpg
185217484,20,0,3,2,0,0,0,0,0,7666,2228,1,0,1,1,1.9,8.333333333,1481,16,2,3,1,185217484_1f06634bc9d5424bc0f094f68ca72fe4-p_f.jpg
29462564,10,0,4,2,2,0,0,0,0,5183,1534,1,0,1,1,1.8,3,1457,13,3,3,1,29462564_aff81d6f3dad7122ffbbcb7d1f9b5654-p_f.jpg
70355992,35,2,3,2,1,1,0,0,0,7405,1738,1,0,1,1,1.966666667,3,1457,13,2,3,1,70355992_6690775f5053ed747a80d221c069391e-p_f.jpg
89659978,21,0,3,3,2,1,0,1,0,12196.8,2630,1,0,1,1,2.033333333,8.333333333,1481,16,3,5,2,89659978_d06ef54af4f2b1b2734953be777fdd1a-p_f.jpg
70333917,38,0,8,2,4,1,0,0,0,30056.4,3402,1,0,1,1,2.066666667,7,1277,16,4,4,2,70333917_38e0174e92f0a3743d95f5d04f1d5a71-p_f.jpg
